SKU,LOC,FECHA,UNI
Art02,LOC_084,2019-04-28,15.0
Art02,LOC_084,2019-05-05,13.0
Art02,LOC_084,2019-05-12,12.0
Art02,LOC_084,2019-05-19,9.0
Art02,LOC_084,2019-05-26,11.0
Art02,LOC_084,2019-06-02,13.0
Art02,LOC_084,2019-06-09,11.0
Art02,LOC_084,2019-06-16,6.0
Art02,LOC_084,2019-06-23,15.0
Art02,LOC_085,2019-04-07,0.0
Art02,LOC_085,2019-04-14,0.0
Art02,LOC_085,2019-04-21,0.0
Art02,LOC_085,2019-04-28,0.0
Art02,LOC_085,2019-05-05,0.0
Art02,LOC_085,2019-05-12,0.0
Art02,LOC_085,2019-05-19,1.0
Art02,LOC_085,2019-05-26,1.0
Art02,LOC_085,2019-06-02,1.0
Art02,LOC_085,2019-06-09,2.0
Art02,LOC_085,2019-06-16,2.0
Art02,LOC_085,2019-06-23,3.0
Art02,LOC_086,2019-04-07,1.0
Art02,LOC_086,2019-04-14,4.0
Art02,LOC_086,2019-04-21,2.0
Art02,LOC_086,2019-04-28,4.0
Art02,LOC_086,2019-05-05,4.0
Art02,LOC_086,2019-05-12,3.0
Art02,LOC_086,2019-05-19,2.0
Art02,LOC_086,2019-05-26,3.0
Art02,LOC_086,2019-06-02,3.0
Art02,LOC_086,2019-06-09,2.0
Art02,LOC_086,2019-06-16,1.0
Art02,LOC_086,2019-06-23,1.0
Art02,LOC_087,2019-04-07,0.0
Art02,LOC_087,2019-04-14,0.0
Art02,LOC_087,2019-04-21,0.0
Art02,LOC_087,2019-04-28,1.0
Art02,LOC_087,2019-05-05,0.0
Art02,LOC_087,2019-05-12,0.0
Art02,LOC_087,2019-05-19,2.0
Art02,LOC_087,2019-05-26,2.0
Art02,LOC_087,2019-06-02,1.0
Art02,LOC_087,2019-06-09,1.0
Art02,LOC_087,2019-06-16,0.0
Art02,LOC_087,2019-06-23,1.0
Art02,LOC_088,2019-04-07,25.0
Art02,LOC_088,2019-04-14,9.0
Art02,LOC_088,2019-04-21,11.0
Art02,LOC_088,2019-04-28,15.0
Art02,LOC_088,2019-05-05,23.0
Art02,LOC_088,2019-05-12,31.0
Art02,LOC_088,2019-05-19,29.0
Art02,LOC_088,2019-05-26,15.0
Art02,LOC_088,2019-06-02,24.0
Art02,LOC_088,2019-06-09,23.0
Art02,LOC_088,2019-06-16,20.0
Art02,LOC_088,2019-06-23,17.0
Art02,LOC_089,2019-04-07,11.0
Art02,LOC_089,2019-04-14,15.0
Art02,LOC_089,2019-04-21,10.0
